Date,Time,Global_active_power,global_ractive_power,voltage,global_intensity,sub_metering_1,consumer_name
3/1/2020,0:00,0.032,0.02,1203.9,7.2,32,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,0:15,0.02,0.024,1206.48,6.8,20,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,0:30,0.016,0.024,1208.11,6.2,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,0:45,0.044,0.02,1215.36,6.8,44,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,1:00,0.14,0.012,1213.95,6.6,140,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,1:15,0.02,0.02,1211.45,8.8,20,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,1:30,0.016,0.024,1214.31,9.2,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,1:45,0.02,0.024,1208.43,10.2,20,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,2:00,0.056,0.02,1209.15,11,56,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,2:15,0.132,0.008,1209.48,8.6,132,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,2:30,0.016,0.024,1208.23,6,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,2:45,0.016,0.024,1209.51,6,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,3:00,0.016,0.024,1210.74,6,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,3:15,0.064,0.02,1212.64,5,64,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,3:30,0.128,0.008,1216.45,6.4,128,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,3:45,0.016,0.024,1211.43,19.8,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,4:00,0.016,0.024,1206.47,29,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,4:15,0.016,0.024,1203.12,29.2,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,4:30,0.072,0.016,1201.24,28,72,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,4:45,0.116,0.012,1204.57,27.8,116,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,5:00,0.016,0.024,1206.95,27,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,5:15,0.016,0.024,1205.55,27,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,5:30,0.02,0.024,1209.31,27,20,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,5:45,0.072,0.02,1211.4,28.4,72,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,6:00,0.116,0.016,1205.53,29,116,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,6:15,0.016,0.024,1207.66,29,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,6:30,0.016,0.024,1210.74,18.2,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,6:45,0.02,0.024,1219,6.2,20,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,7:00,0.096,0.012,1215.36,6.6,96,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,7:15,0.096,0.016,1211.15,5.6,96,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,7:30,0.016,0.024,1217.33,5,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,7:45,0.016,0.02,1224.95,5,16,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
3/1/2020,8:00,0.02,0.024,1218.51,6.4,20,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
