Date,Time,Global_active_power,global_ractive_power,voltage,global_intensity,sub_metering_1,consumer_name
1/3/2017,0:00:00,0.112,0,1216.75,4.8,112,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,0:15:00,0.176,0.084,1215.3,4.4,176,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,0:30:00,0.136,0.108,1212.3,4,136,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,0:45:00,0.188,0.096,1210.6,4.8,188,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,1:00:00,0.124,0.024,1212.58,4.4,124,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,1:15:00,0.148,0.004,1214.54,7.6,148,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,1:30:00,0.068,0,1211.62,9,68,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,1:45:00,0.072,0,1216.43,8,72,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,2:00:00,0.144,0.008,1219.48,4,144,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,2:15:00,0.112,0,1213.06,4.8,112,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,2:30:00,0.152,0.088,1212.53,4,152,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,2:45:00,0.152,0.088,1216.87,4,152,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,3:00:00,0.188,0.096,1219.12,4.6,188,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,3:15:00,0.136,0.036,1215.79,4,136,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,3:30:00,0.144,0.008,1211.83,8.4,144,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,3:45:00,0.04,0,1215.16,10.2,40,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,4:00:00,0.1,0,1222.33,12,100,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
1/3/2017,4:15:00,0.14,0.004,1220.34,8.4,140,cmKm2WycoodYN3GdfZTDr3CbLzQ0MabHl43JggXkY5A=
